LoanID,CustomerID,RegionID,Application_Date,Approval_Status,Disbursement_Date,Loan_Amount,Interest_Rate,Term_Months,Loan_Type,CreditScore_At_Application,EMI_Amount,Collateral_Type,Payment_Frequency,Channel,SourceSystem,Default_Status,Default_Date
L0000001,C003466,R0063,25-Apr-2023 10:46,Rejected,,15891.52,13.35,72.0,Business loan,689,321.95,None,MONTHLY,Agent,Campaign,0,
L0000002,C001787,R0234,2024-10-09,Approved,11-11-2024,5691.15,11.34,72.0,business loan,762,109.32,,Biweekly,Agent,CoreBank,0,
L0000003,C007552,R0235,2023-03-01,Approved,28/04/2023,9771.33,9.12,84.0,Mortgage,758,157.81,None,Monthly,Online,PartnerAPI,0,
L0000004,C004424,R0036,09-07-2025,Pending,,19929.49,15.85,60.0,Education Loan,808,483.06,FD,MONTHLY,Branch,Campaign,0,
L0000005,C004295,R0110,08-10-2021,Approved,"Sep 14, 2021",17340.51,11.33,72.0,gold loan,654,333.0,FD,MONTHLY,Agent,Campaign,0,
L0000006,C006894,R0341,2021-07-15,Approved,06-Aug-2021 04:06,9929.04,11.48,60.0,BUSINESS LOAN,,218.27,None,MONTHLY,BRANCH,Salesforce,0,
L0000007,C001849,R0096,"Oct 09, 2021",Approved,23/11/2021,9218.92,13.95,24.0,gold loan,705,442.41,Gold,Monthly,Online,Campaign,0,
L0000008,C001866,R0410,15/01/2025,Pending,,11786.13,9.09,36.0,BUSINESS LOAN,652,375.29,Vehicle,Biweekly,Partner,PartnerAPI,0,
L0000009,C000155,R0368,"Jun 06, 2024",Approved,"Jul 26, 2024",14938.13,12.18,12.0,BUSINESS LOAN,723,1328.49,FD,Biweekly,MobileApp,CoreBank,0,
L0000010,C005351,R0310,05-28-2023,Approved,06/06/2023,15178.38,,18.0,home loan,732,879.61,None,MONTHLY,Branch,PartnerAPI,0,
L0000011,C000480,R0115,2024-02-16,Approved,21-Feb-2024 10:27,17515.76,13.0,60.0,Home Loan,784,398.54,Vehicle,MONTHLY,BRANCH,Salesforce,0,
L0000012,C004393,R0123,05-16-2021,Approved,05-20-2021,19664.37,11.34,36.0,GOLD LOAN,739,646.96,Property,Biweekly,Partner,PartnerAPI,1,
L0000013,C001559,R0499,2022-01-31,Approved,,14654.04,10.4,60.0,auto loan,734,314.25,Vehicle,Monthly,Agent,PartnerAPI,0,
L0000014,C003148,R0129,"Mar 20, 2023",Approved,09-Apr-2023 09:05,15561.26,12.19,84.0,Home Loan,683,276.28,,MONTHLY,Branch,Salesforce,0,
L0000015,C004244,R0257,06-16-2021,Approved,17/07/2021,12264.17,-219.08638092320984,48.0,GOLD LOAN,733,306.89,FD,Biweekly,Online,Campaign,0,
L0000016,C006776,R0488,25/06/2023,Approved,09/08/2023,14161.86,13.96,24.0,home loan,817,679.68,Guarantee,Monthly,Branch,Campaign,0,
L0000017,C001504,R0333,"Mar 16, 2021",Rejected,,9747.04,16.34,60.0,Mortgage,641,238.79,NONE,Biweekly,MobileApp,CoreBank,0,
L0000018,C003080,R0219,"Mar 27, 2022",Approved,18/05/2022,17933.79,9.52,,mortgage,668,574.64,Guarantee,Biweekly,MobileApp,Salesforce,0,
L0000019,C001347,R0284,"Jan 25, 2023",Pending,,6566.64,9.62,84.0,Business loan,604,107.73,NONE,Biweekly,MobileApp,PartnerAPI,0,
L0000020,C001419,R0230,04-01-2023,Approved,2023-05-20,12000.13,15.31,72.0,BUSINESS LOAN,648,255.77,FD,Biweekly,Online,PartnerAPI,0,
L0000021,C002687,R0316,07-Apr-2022 04:01,Approved,2022-04-12,6520.75,11.03,60.0,Gold loan,825,141.87,FD,Monthly,BRANCH,Salesforce,0,
L0000022,C001333,R0379,09-Nov-2023 03:27,Approved,"Nov 29, 2023",11505.88,12.33,72.0,education loan,542,226.92,Property,Monthly,MobileApp,Campaign,0,
L0000023,C002416,R0009,2025/05/31 08:34:05,Approved,17/07/2025,11106.85,14.32,24.0,MORTGAGE,717,534.95,Property,MONTHLY,Branch,PartnerAPI,0,
L0000024,C001883,R0033,09-05-2022,Approved,10-27-2022,13987.85,13.54,36.0,Gold loan,750,474.95,FD,Monthly,Partner,Campaign,0,
L0000025,C005452,R0489,2021/04/27 14:01:25,Approved,05-19-2021,10033.87,7.3,60.0,Gold Loan,685,200.11,Gold,MONTHLY,Online,Salesforce,0,
L0000026,C000649,R0074,2023/03/18 02:53:46,Approved,,9977.21,13.3,36.0,Personal Loan,665,337.62,None,Monthly,BRANCH,PartnerAPI,0,
L0000027,C002676,R0121,2022/02/10 03:35:23,Approved,03-01-2022,11402.16,10.49,36.0,home loan,565,370.54,NONE,MONTHLY,MobileApp,Campaign,0,
L0000028,C003674,R0235,07/12/2023,Approved,31-Jan-2024 17:28,9477.18,16.89,72.0,Personal Loan,600,210.25,Vehicle,Monthly,Partner,Salesforce,1,
L0000029,C005686,R0076,03-31-2021,Approved,,7014.13,11.38,24.0,AUTO LOAN,658,328.15,None,Biweekly,Partner,Campaign,0,
L0000030,C003056,R0108,2023/08/12 02:43:52,Approved,21-Sep-2023 02:43,18234.98,16.85,72.0,Mortgage,745,404.13,Guarantee,Biweekly,Online,Campaign,0,
L0000031,C006774,R0135,04/10/2024,Pending,,11433.22,12.25,60.0,Auto Loan,743,255.77,FD,MONTHLY,MobileApp,PartnerAPI,0,
L0000032,C006698,R0403,2025-07-07,Approved,2025-07-21,11495.52,12.4,36.0,education loan,721,384.02,Guarantee,Monthly,Agent,PartnerAPI,0,
