LoanID,CustomerID,LoanType,PrincipalAmount,InterestRate,TermMonths,StartDate,EndDate,EMIAmount,PaymentStatus,PaymentType,LastPaymentDate,DefaultFlag
LN000107,CUST006581,Home,1211330,11.49,36,2024-05-25,2027-06-28,45246.54,On-time,Auto-debit,2024-06-26,1
LN000158,CUST006252,Home,2268039,6.73,84,2023-05-13,2030-05-08,39720.38,On-time,Cash,2023-07-02,0
LN000166,CUST006733,Personal,4873191,8.87,72,2023-06-20,2029-07-01,103704.21,Late,Cash,2023-07-31,0
LN000294,CUST006144,Auto,4949898,16.63,36,2024-09-26,2027-08-16,206094.5,On-time,Neft,2024-12-14,0
LN000459,CUST001900,Education,1594695,21.19,60,2018-05-27,2023-03-17,54737.91,On-time,Card,2018-07-05,0
LN001195,CUST005001,Auto,2691519,11.7,60,2023-01-06,2027-11-09,71100.96,Late,Upi,2023-03-28,0
LN001240,CUST004545,Home,2398340,20.37,36,2016-08-10,2019-07-30,107332.38,On-time,Neft,2016-11-11,1
LN002421,CUST003026,Personal,2727717,21.52,36,2024-11-17,2027-11-16,124686.97,On-time,Card,2025-01-02,0
LN002646,CUST003552,Personal,3051292,14.28,24,2018-04-23,2020-02-28,163447.54,On-time,Auto-debit,2018-06-27,0
LN002740,CUST001386,Personal,3383873,11.2,36,2017-12-22,2021-01-17,125579.29,On-time,Auto-debit,2018-02-08,0
LN002827,CUST009275,Home,287496,14.6,60,2019-05-16,2024-04-03,8289.47,On-time,Cash,2019-08-03,0
LN002871,CUST000207,Home,452789,7.69,48,2018-04-08,2022-03-02,12334.73,On-time,Netbanking,2018-06-17,0
LN003363,CUST007105,Personal,4524811,11.18,24,2022-02-04,2023-12-22,230689.95,Late,Auto-debit,2022-04-22,1
LN003433,CUST006246,Personal,1182019,14.84,36,2022-12-13,2025-11-13,47451.5,On-time,Auto-debit,2023-01-15,0
LN003474,CUST004100,Credit Line,3323007,13.78,48,2023-03-22,2026-12-31,107388.51,Late,Upi,2023-04-18,0
