PaymentID,LoanID,CustomerID,PaymentDate,AmountPaid,PrincipalComponent,InterestComponent,LateFee,PaymentStatus,PaymentMethod,ReceiptNumber,Currency,DaysPastDue,Channel,Notes
PM00000001,L0005705,C003145,2025/08/15 06:29:49,258.59,108.55,150.04,0.0,failed,UPI,R681798,USD,30.0,Agent,On-time
PM00000002,L0007291,C005576,2024-02-16,204.05,115.11,88.94,0.0,Failed,CARD,R995984,EUR,0.0,Agent,Waiver applied
PM00000003,L0006774,C001103,2024-08-22,312.28,186.95,125.33,0.0,Pending,WALLET,R907097,USD,0.0,Branch,On-time
PM00000004,L0005476,C002871,2024/09/07 13:17:07,162.45,83.24,79.21,50.0,Failed,NETBANKING,R193113,EUR,0.0,BRANCH,On-time
PM00000005,L0009742,C006635,11-Feb-2024 14:21,259.17,173.31,85.86,0.0,Pending,CASH,,USD,0.0,BRANCH,Waiver applied
PM00000006,L0009447,C001232,11-11-2023,425.28,238.51,186.77,20.0,failed,CASH,R244876,INR,0.0,Online,Auto-debit
PM00000007,L0005951,C005246,2025-10-20,92.85,38.25,54.6,20.0,Failed,WALLET,R722992,USD,30.0,Agent,On-time
PM00000008,L0000459,C001365,24/01/2025,143.11,109.25,33.86,10.0,Success,CARD,R327778,USD,0.0,Agent,Partial payment
PM00000009,L0008227,C007173,"Nov 20, 2024",170.15,x,null,20.0,Success,WALLET,R817168,INR,5.0,Online,Partial payment
PM00000010,L0009765,C004829,2025-08-07,,210.61,130.2,20.0,Reversed,WALLET,R977967,INR,0.0,Branch,Waiver applied
PM00000011,L0003838,C002128,2024/05/12 11:18:50,,154.51,104.96,50.0,Failed,CASH,R855275,INR,30.0,Agent,Partial payment
PM00000012,L0005183,C005846,09-Aug-2024 14:12,-78138.30213567361,123.5,70.96,0.0,Pending,CASH,,EUR,0.0,MobileApp,Manual payment
PM00000013,L0007499,C006815,"Dec 25, 2024",223.55,109.11,114.44,0.0,Reversed,WALLET,R956500,EUR,0.0,Partner,On-time
PM00000014,L0006988,C006165,"Apr 18, 2025",412.11,141.02,271.09,0.0,Success,CASH,R938647,EUR,0.0,Online,Manual payment
PM00000015,L0007008,C001116,2024/05/31 02:16:29,200.36,73.81,126.55,0.0,failed,CARD,R627101,EUR,5.0,Branch,On-time
PM00000016,L0006212,C005868,09-20-2024,192.44,142.98,49.46,0.0,SUCCESS,WALLET,,USD,5.0,MobileApp,Waiver applied
PM00000017,L0007559,C007085,21/08/2024,428.87,164.37,264.5,0.0,SUCCESS,CARD,R640902,INR,10.0,Agent,On-time
PM00000018,L0001647,C002837,07-17-2025,320.83,225.46,95.37,0.0,Reversed,CASH,R188790,USD,0.0,MobileApp,Partial payment
PM00000019,L0006717,C000791,31/05/2025,308.75,149.77,158.98,50.0,Success,WALLET,R478753,INR,5.0,MobileApp,Auto-debit
PM00000020,L0005724,C002262,"Aug 04, 2025",335.83,128.19,207.64,0.0,Reversed,NETBANKING,R251925,INR,30.0,Partner,On-time
PM00000021,L0003474,C007994,07-21-2024,233.43,126.58,106.85,10.0,Success,CASH,R454044,EUR,0.0,Agent,Auto-debit
PM00000022,L0008642,C002598,2024-07-29,411.57,318.27,93.3,10.0,Reversed,UPI,R893086,INR,0.0,MobileApp,Manual payment
PM00000023,L0003596,C006160,22/10/2024,-66237.20100977863,229.55,192.66,20.0,Success,UPI,R733766,INR,0.0,MobileApp,Waiver applied
PM00000024,L0000733,C002622,30-May-2024 15:25,230.84,87.69,143.15,20.0,Reversed,,R166117,INR,0.0,MobileApp,Manual payment
PM00000025,L0003711,C003400,"Nov 27, 2023",424.76,141.57,283.19,0.0,Reversed,,R817906,USD,60.0,Agent,Manual payment
PM00000026,L0003962,C004353,04/05/2025,168.96,83.43,85.53,0.0,SUCCESS,WALLET,R596370,INR,30.0,Online,Waiver applied
PM00000027,L0003017,C005520,"Jun 23, 2024",127.0,96.29,30.71,0.0,Success,NETBANKING,R982527,USD,5.0,MobileApp,Auto-debit
PM00000028,L0000259,C004423,2024/04/11 06:08:11,289.16,89.18,199.98,0.0,Success,CARD,R656044,USD,0.0,Online,Auto-debit
PM00000029,L0009810,C007266,07-14-2024,261.0,127.15,133.85,50.0,Success,CARD,R323919,EUR,0.0,Agent,On-time
PM00000030,L0004706,C002137,2025-07-30,121.27,73.81,47.46,50.0,Reversed,CARD,R443346,USD,5.0,Partner,Waiver applied
PM00000031,L0009254,C003599,2024/12/24 17:56:16,323.45,152.08,171.37,0.0,Pending,UPI,R126007,USD,,MobileApp,Partial payment
PM00000032,L0006859,C005695,2024-12-07,339.8,224.52,115.28,0.0,Pending,WALLET,R989779,EUR,60.0,Online,Auto-debit
PM00000033,L0007646,C004371,2024-12-25,369.93,113.61,256.32,0.0,Success,WALLET,R735917,INR,60.0,Branch,On-time
PM00000034,L0006839,C005120,2024-07-19,79.84,47.83,32.01,0.0,Success,UPI,R884361,USD,0.0,BRANCH,Manual payment
PM00000035,L0006071,C007174,"Oct 18, 2025",320.55,242.31,78.24,10.0,Failed,CARD,R209179,USD,10.0,Agent,On-time
