Channel,City,Currency,CustomerID,Device,Discount,FraudFlag,LoanID,Merchant,PaymentMethod,ProductCategory,Quantity,Region,SKU,Timestamp,TotalAmount,TransactionID,UnitPrice
Online,BERLIN,INR,CUST003738,iOS,0.08,false,LN007254,BestBuy,Card,Toys,2,apac,TOY-761922,2020-02-05,140673.12,TX009889,76452.78
Mobile,Mumbai,EUR,CUST001497,POS,0.17,true,LN003403,Myntra,Card,Beauty,2,emea,BEA-316993,2024-10-27,207513.56,TX008596,125008.17
In-Store,SAO PAULO,INR,CUST009697,Web,0.2,false,LN003288,Walmart,Netbanking,Apparel,3,Apac,APP-927727,2021-05-22,23039.16,TX007817,9599.65
Mobile,Paris,USD,CUST001350,Web,0.23,false,LN005903,Walmart,Cash,Beauty,2,Amer,BEA-739615,2023-02-11,21070.82,TX005934,41965.61
In-Store,NEW YORK,AED,CUST008674,Android,0.14,false,LN004945,Carrefour,Auto-debit,Toys,2,mea,TOY-986204,2023-02-11,219514.38,TX005507,127624.64
Online,San Francisco,INR,CUST005780,POS,0.21,false,LN008376,Noon,Upi,Electronics,2,apac,ELE-832799,2023-02-11,112981.9,TX003078,71507.53
Online,DOHA,USD,CUST007886,Web,0.4,false,LN008147,Myntra,Upi,Beauty,4,Amer,BEA-733239,2019-10-23,166859.23,TX001739,69524.68
Mobile,Chennai,EUR,CUST002591,Android,0.23,false,LN005988,Myntra,Card,Apparel,2,EMEA,APP-847320,2021-12-13,116088.62,TX004389,75382.22
Mobile,Paris,USD,CUST005370,Android,0.38,false,LN009119,Amazon,Upi,Toys,1,LATAM,TOY-372343,2021-03-13,88895.69,TX007670,143380.14
In-Store,Kolkata,INR,CUST001121,Android,0.33,false,LN004615,Myntra,Cash,Grocery,1,APAC,GRO-144326,2019-07-31,776.19,TX009729,1158.49
In-Store,Madrid,USD,CUST004863,Web,0.28,true,LN003132,BestBuy,Card,Home,2,AMER,HOM-456585,2022-09-09,177894.86,TX005238,123538.1
Mobile,pune,USD,CUST005021,Android,0.25,false,LN008609,Carrefour,Auto-debit,Toys,1,Latam,TOY-386842,2019-06-10,22596.68,TX001982,30128.91
Online,MADRID,INR,CUST004896,Web,0.21,false,LN004289,Amazon,Netbanking,Automotive,2,APAC,AUT-198827,2020-06-02,226284.42,TX001568,143217.99
Mobile,BERLIN,INR,CUST003946,POS,0.33,false,LN005300,DMart,Cash,Grocery,1,APAC,GRO-905624,2023-02-11,0,TX000695,133937.05
Online,london,AED,CUST001447,iOS,0.35,true,LN001205,Carrefour,Card,Toys,1,mea,TOY-490514,2023-07-13,4970.92,TX004709,7647.57
Mobile,San Francisco,INR,CUST000878,Android,0.13,false,LN009040,DMart,Upi,Home,1,APAC,HOM-527791,2021-11-27,50138.33,TX009128,91062.82
Mobile,CHENNAI,AED,CUST001300,Web,0.32,false,LN008990,Flipkart,Upi,Home,1,mea,HOM-375831,2025-01-11,86855.99,TX000609,127729.39
In-Store,Mumbai,AED,CUST006112,POS,0.08,false,LN003519,Noon,Netbanking,Toys,2,mea,TOY-202371,2021-10-27,70026.89,TX006040,133685.27
Online,PUNE,AED,CUST001717,Web,0.08,false,LN000086,Noon,Cash,Toys,1,MEA,TOY-556515,2023-02-11,105375.03,TX008190,114538.08
In-Store,hyderabad,USD,CUST003851,Android,0.04,false,LN003362,IKEA,Cash,Beauty,2,Latam,BEA-212303,2023-02-11,239829.33,TX008954,124911.11
Mobile,Doha,EUR,CUST000982,Android,0.01,false,LN005187,Amazon,Card,Electronics,2,emea,ELE-654723,2020-11-11,264880.3,TX009488,133777.93
Online,Dubai,USD,CUST000085,Android,0.31,true,LN003826,Carrefour,Neft,Grocery,1,Amer,GRO-211387,2019-11-22,58901.51,TX008326,85364.51
In-Store,New York,EUR,CUST009135,POS,0.19,false,LN009913,DMart,Neft,Apparel,1,Emea,APP-765037,2023-02-11,9423.44,TX009883,11633.88
